order_id,date,region,product,revenue,units,discount_rate
1,2025-11-24,NA,Orbit Plan,211.43,11,0.74
2,2025-10-07,NA,Nova Add-on,274.05,2,0.22
3,2025-09-16,MEA,Orbit Plan,81.21,4,0.45
4,2025-05-23,NA,Pulse API,325.84,7,0.34
5,2025-03-21,EU,Legacy,165.61,6,0.6
6,2025-01-23,LATAM,Nova Add-on,124.53,7,0.08
7,2025-05-31,MEA,Legacy,59.67,11,0.23
8,2025-05-29,NA,Legacy,258.44,7,0.28
9,2025-11-22,APAC,Orbit Plan,176.75,11,0.65
10,2025-11-08,EU,Nova Add-on,254.05,8,0.38
11,2025-11-24,MEA,Orbit Plan,51.15,1,0.81
12,2025-07-25,APAC,Orbit Plan,398.98,10,0.88
13,2025-06-11,EU,Pulse API,69.25,5,0.14
14,2026-01-17,MEA,Nova Add-on,103.14,7,0.9
15,2025-07-24,APAC,Orbit Plan,368.61,1,0.86
16,2025-03-20,EU,Pulse API,178.84,2,0.38
17,2025-11-02,LATAM,Nova Add-on,185.19,12,0.11
18,2025-10-02,APAC,Pulse API,227.34,5,0.43
19,2025-08-21,NA,Legacy,262.8,3,0.51
20,2025-02-24,APAC,Legacy,209.96,4,0.15
21,2026-01-26,EU,Nova Add-on,9.693000000000001,8,0.02
22,2025-07-05,APAC,Orbit Plan,149.92,10,0.95
23,2025-02-13,LATAM,Pulse API,157.04,11,0.48
24,2025-10-09,EU,Orbit Plan,169.28,7,0.96
25,2025-10-04,EU,Pulse API,104.28,9,0.45
26,2025-05-07,EU,Orbit Plan,235.75,9,0.23
27,2025-04-23,NA,Orbit Plan,182.27,6,0.07
28,2025-05-02,APAC,Pulse API,211.85,3,0.72
29,2025-10-20,MEA,Nova Add-on,79.6,2,0.66
30,2025-07-01,LATAM,Nova Add-on,41.76,1,0.67
31,2025-11-27,NA,Orbit Plan,201.13,4,0.19
32,2025-08-18,EU,Nova Add-on,67.92,4,0.87
33,2025-02-08,LATAM,Pulse API,120.8,9,0.84
34,2025-02-17,EU,Orbit Plan,157.51,4,0.86
35,2025-01-31,EU,Orbit Plan,229.25,8,0.29
36,2025-12-23,MEA,Pulse API,68.23,4,0.3
37,2025-01-30,MEA,Pulse API,89.71,8,0.5
38,2025-09-29,EU,Orbit Plan,200.42,3,0.07
39,2025-02-04,EU,Nova Add-on,256.37,1,0.62
40,2025-08-03,MEA,Nova Add-on,58.58,5,0.2
41,2026-01-02,APAC,Orbit Plan,152.27,6,0.93
42,2025-02-07,NA,Nova Add-on,289.99,2,0.07
43,2025-04-20,MEA,Orbit Plan,116.16,6,0.28
44,2025-08-13,MEA,Pulse API,49.42,11,0.53
45,2025-12-08,MEA,Orbit Plan,40.01,2,0.89
46,2026-01-16,MEA,Orbit Plan,20.44,4,0.72
47,2025-04-15,APAC,Nova Add-on,258.6,11,0.42
48,2025-05-22,NA,Orbit Plan,388.26,11,0.98
49,2025-03-24,LATAM,Nova Add-on,105.18,12,0.9
50,2025-10-07,NA,Legacy,224.71,3,0.43
51,2025-01-22,APAC,Orbit Plan,482.38,6,0.21
52,2025-05-08,NA,Orbit Plan,135.88,7,0.97
53,2026-01-19,EU,Legacy,183.12,3,0.88
54,2025-01-13,EU,Pulse API,217.39,7,0.8
55,2026-01-12,EU,Orbit Plan,187.01,8,0.22
56,2025-08-24,APAC,Orbit Plan,217.67,4,0.22
57,2025-12-04,EU,Nova Add-on,175.73,6,0.64
58,2025-07-24,MEA,Orbit Plan,79.14,5,0.18
59,2025-05-16,NA,Orbit Plan,106.02,10,0.98
60,2025-03-01,LATAM,Legacy,134.85,1,0.71
61,2025-01-01,MEA,Legacy,32.07,11,0.2
62,2025-08-09,NA,Legacy,190.63,10,0.31
63,2025-03-05,APAC,Nova Add-on,219.67,9,0.13
64,2025-08-04,LATAM,Pulse API,80.35,10,0.57
65,2025-07-27,MEA,Legacy,64.41,10,0.65
66,2025-08-27,LATAM,Nova Add-on,134.95,8,0.79
67,2026-01-12,EU,Pulse API,160.4,2,0.82
68,2026-01-20,EU,Pulse API,270.94,4,0.15
69,2025-01-24,EU,Legacy,97.51,11,0.58
70,2026-01-03,LATAM,Nova Add-on,67.61,11,0.69
71,2026-01-20,NA,Pulse API,247.05,8,0.05
72,2025-05-08,NA,Nova Add-on,356.38,11,0.53
73,2025-10-14,MEA,Orbit Plan,70.87,9,0.43
74,2025-10-08,LATAM,Legacy,68.4,8,0.45
75,2026-01-20,EU,Legacy,161.34,4,0.27
76,2025-02-09,APAC,Orbit Plan,415.49,9,0.08
77,2025-03-19,EU,Nova Add-on,205.07,6,0.54
78,2025-08-01,NA,Orbit Plan,263.77,10,0.95
79,2025-01-11,MEA,Nova Add-on,92.8,7,0.54
80,2026-01-12,MEA,Pulse API,70.84,8,0.22
81,2025-08-12,LATAM,Orbit Plan,80.1,3,0.84
82,2025-03-07,MEA,Nova Add-on,101.66,10,0.56
83,2025-01-14,NA,Pulse API,276.39,7,0.33
84,2025-08-21,APAC,Orbit Plan,336.26,5,0.75
85,2025-08-04,APAC,Legacy,111.31,6,0.22
86,2025-02-05,NA,Pulse API,243.75,4,0.84
87,2025-11-15,EU,Orbit Plan,149.37,8,0.7
88,2026-01-28,APAC,Orbit Plan,267.42,12,0.72
89,2026-02-03,EU,Legacy,191.18,11,0.91
90,2025-07-12,LATAM,Legacy,115.52,10,0.69
91,2025-11-18,EU,Orbit Plan,197.29,2,0.8
92,2025-10-17,NA,Orbit Plan,71.43,6,0.07
93,2025-11-28,APAC,Orbit Plan,167.41,6,0.64
94,2025-08-24,EU,Nova Add-on,215.21,11,0.27
95,2025-10-03,LATAM,Nova Add-on,133.63,4,0.83
96,2025-02-14,APAC,Legacy,151.62,8,0.57
97,2025-12-09,LATAM,Orbit Plan,75.89,6,0.8
98,2025-06-24,APAC,Legacy,262.89,5,0.56
99,2025-09-22,EU,Orbit Plan,166.36,12,0.48
100,2025-12-31,LATAM,Nova Add-on,66.2,5,0.22
101,2025-12-21,EU,Orbit Plan,117.83,7,1.0
102,2025-10-09,APAC,Orbit Plan,209.48,5,0.25
103,2025-03-03,EU,Orbit Plan,173.08,4,0.22
104,2025-09-05,APAC,Pulse API,36.82,9,0.6
105,2025-02-21,EU,Orbit Plan,145.7,3,0.27
106,2025-01-28,MEA,Orbit Plan,85.94,11,0.87
107,2025-09-09,NA,Legacy,142.53,3,0.97
108,2025-05-10,LATAM,Orbit Plan,90.55,8,0.07
109,2025-11-19,NA,Orbit Plan,290.43,4,0.12
110,2026-01-27,LATAM,Nova Add-on,22.88,4,0.78
111,2025-07-14,LATAM,Legacy,94.96,10,0.62
112,2025-11-09,NA,Legacy,318.11,4,0.26
